HEADING,FREQUENCY,PATENT NUMBER,DISCARDED
TITLE,4204,4007326,N
CLAIM,3896,4007326,N
ABSTRACT,3805,4007326,N
BACKGROUND OF THE INVENTION,2817,4007326,Y
BRIEF DESCRIPTION OF THE DRAWINGS,2739,4012207,Y
SUMMARY OF THE INVENTION,2328,4007326,N
FIELD OF THE INVENTION,909,4021723,N
DETAILED DESCRIPTION OF THE INVENTION,797,4007326,N
EXAMPLE 1,698,4047533,Y
DETAILED DESCRIPTION,635,4059683,N
EXAMPLE 2,632,4047533,Y
EXAMPLE 3,553,4047533,Y
BACKGROUND,551,4059683,Y
EXAMPLE 4,478,4059683,Y
EXAMPLE 5,407,4059683,Y
DETAILED DESCRIPTION OF THE PREFERRED EMBODIMENTS,396,4114896,N
TECHNICAL FIELD,384,4193318,N
DESCRIPTION OF THE PREFERRED EMBODIMENTS,363,4008987,N
CROSS-REFERENCE TO RELATED APPLICATIONS,337,4059683,Y
EXAMPLE 6,334,4059683,Y
EXAMPLES,322,4255266,Y
SUMMARY,318,4171595,N
EXAMPLE 7,295,4059683,Y
EXAMPLE 8,251,4059683,Y
EXAMPLE 9,219,4061869,Y
DETAILED DESCRIPTION OF THE PREFERRED EMBODIMENT,211,4055386,N
DESCRIPTION OF THE PREFERRED EMBODIMENT,202,4012207,N
BRIEF DESCRIPTION OF THE DRAWING,193,4021723,Y
EXAMPLE 10,184,4093639,Y
CROSS REFERENCE TO RELATED APPLICATIONS,182,4068059,Y
BACKGROUND ART,172,4193318,Y
BRIEF SUMMARY OF THE INVENTION,169,4059683,N
EXAMPLE 11,163,4093639,Y
EXAMPLE 12,151,4093639,Y
EXAMPLE 13,136,4093639,Y
RELATED APPLICATIONS,133,4466464,Y
CROSS-REFERENCE TO RELATED APPLICATION,128,4011054,Y
EXAMPLE 14,124,4221802,Y
BRIEF DESCRIPTION OF DRAWINGS,112,4403541,Y
EXAMPLE 15,108,4221802,Y
DETAILED DESCRIPTION OF PREFERRED EMBODIMENTS,102,4189385,N
DESCRIPTION OF THE DRAWINGS,99,4008987,Y
EXAMPLE 16,97,4221802,Y
EXAMPLE 17,90,4221802,Y
BRIEF DESCRIPTION OF THE FIGURES,87,4156116,Y
EXAMPLE 18,86,4221802,Y
DISCLOSURE OF THE INVENTION,84,4293620,N
COMPARATIVE EXAMPLE 1,83,4333916,Y
CROSS REFERENCE TO RELATED APPLICATION,73,4141568,Y
COMPARATIVE EXAMPLE 2,73,4333916,Y
EXAMPLE 19,71,4221802,Y
EXAMPLE 20,71,4221802,Y
